857 
9.817299e+11 1.384835e-05 2.494389e-07 
9.637935e+11 1.451763e-05 5.109606e-07 
9.461848e+11 1.521596e-05 7.850910e-07 
9.288979e+11 1.594443e-05 1.072376e-06 
9.119268e+11 1.670430e-05 1.373383e-06 
8.952658e+11 1.749673e-05 1.688701e-06 
8.789091e+11 1.832307e-05 2.018944e-06 
8.628513e+11 1.918463e-05 2.364748e-06 
8.470869e+11 2.008270e-05 2.726775e-06 
8.316106e+11 2.101868e-05 3.105712e-06 
8.164168e+11 2.199409e-05 3.502270e-06 
8.015008e+11 2.301036e-05 3.917191e-06 
7.868573e+11 2.406920e-05 4.351244e-06 
7.724812e+11 2.517200e-05 4.805226e-06 
7.583679e+11 2.632063e-05 5.279965e-06 
7.445124e+11 2.751693e-05 5.776323e-06 
7.309100e+11 2.876260e-05 6.295195e-06 
7.175563e+11 3.005960e-05 6.837510e-06 
7.044463e+11 3.140988e-05 7.404231e-06 
6.915760e+11 3.281531e-05 7.996359e-06 
6.789408e+11 3.427811e-05 8.614930e-06 
6.665365e+11 3.580043e-05 9.261023e-06 
6.543587e+11 3.738421e-05 9.935753e-06 
6.424035e+11 3.903183e-05 1.064027e-05 
6.306668e+11 4.074555e-05 1.137579e-05 
6.191443e+11 4.252760e-05 1.214353e-05 
6.078325e+11 4.438067e-05 1.294478e-05 
5.967273e+11 4.630691e-05 1.378088e-05 
5.858250e+11 4.768345e-05 1.464743e-05 
5.751219e+11 4.974916e-05 1.554572e-05 
5.646143e+11 5.189330e-05 1.648282e-05 
5.542988e+11 5.411846e-05 1.746020e-05 
5.441716e+11 5.642758e-05 1.847938e-05 
5.342295e+11 5.882329e-05 1.954194e-05 
5.244691e+11 6.130865e-05 2.064951e-05 
5.148870e+11 6.388671e-05 2.180375e-05 
5.054799e+11 6.656085e-05 2.300642e-05 
4.962447e+11 6.933446e-05 2.425931e-05 
4.871782e+11 7.221088e-05 2.556430e-05 
4.782774e+11 7.519391e-05 2.692331e-05 
4.695392e+11 7.828734e-05 2.833833e-05 
4.609607e+11 8.149512e-05 2.981146e-05 
4.525389e+11 8.482175e-05 3.134483e-05 
4.442709e+11 8.827090e-05 3.294066e-05 
